,class
HP:0000141,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of the endocrine system(内分泌系统异常));
HP:0000142,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000143,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0000144,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000147,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000148,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000149,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Neoplasm(肿瘤));
HP:0000150,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Neoplasm(肿瘤));
HP:0000151,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0000153,(Abnormality of head and neck(头部和颈部的异常));
HP:0000154,(Abnormality of head and neck(头部和颈部的异常));
HP:0000155,(Abnormality of head and neck(头部和颈部的异常));
HP:0000157,(Abnormality of head and neck(头部和颈部的异常));
HP:0000158,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the musculature(肌肉组织异常));
HP:0000159,(Abnormality of head and neck(头部和颈部的异常));
HP:0000160,(Abnormality of head and neck(头部和颈部的异常));
HP:0000161,(Abnormality of head and neck(头部和颈部的异常));
HP:0000162,(Abnormality of head and neck(头部和颈部的异常));
HP:0000163,(Abnormality of head and neck(头部和颈部的异常));
HP:0000164,(Abnormality of head and neck(头部和颈部的异常));
HP:0000166,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the immune system(免疫系统异常));
HP:0000168,(Abnormality of head and neck(头部和颈部的异常));
HP:0000169,(Abnormality of head and neck(头部和颈部的异常));(Neoplasm(肿瘤));
HP:0000171,(Abnormality of head and neck(头部和颈部的异常));
HP:0000172,(Abnormality of head and neck(头部和颈部的异常));
HP:0000174,(Abnormality of head and neck(头部和颈部的异常));
HP:0000175,(Abnormality of head and neck(头部和颈部的异常));
HP:0000176,(Abnormality of head and neck(头部和颈部的异常));
HP:0000177,(Abnormality of head and neck(头部和颈部的异常));
HP:0000178,(Abnormality of head and neck(头部和颈部的异常));
HP:0000179,(Abnormality of head and neck(头部和颈部的异常));
HP:0000180,(Abnormality of head and neck(头部和颈部的异常));
HP:0000182,(Abnormality of head and neck(头部和颈部的异常));
HP:0000183,(Abnormality of head and neck(头部和颈部的异常));
HP:0000185,(Abnormality of head and neck(头部和颈部的异常));
HP:0000187,(Abnormality of head and neck(头部和颈部的异常));
HP:0000188,(Abnormality of head and neck(头部和颈部的异常));
HP:0000189,(Abnormality of head and neck(头部和颈部的异常));
HP:0000190,(Abnormality of head and neck(头部和颈部的异常));
HP:0000191,(Abnormality of head and neck(头部和颈部的异常));
HP:0000193,(Abnormality of head and neck(头部和颈部的异常));
HP:0000194,(Abnormality of head and neck(头部和颈部的异常));
HP:0000196,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the integument(体壁的异常));
HP:0000197,(Abnormality of head and neck(头部和颈部的异常));
HP:0000199,(Abnormality of head and neck(头部和颈部的异常));
HP:0000200,(Abnormality of head and neck(头部和颈部的异常));
HP:0000201,(Abnormality of head and neck(头部和颈部的异常));
HP:0000202,(Abnormality of head and neck(头部和颈部的异常));
HP:0000204,(Abnormality of head and neck(头部和颈部的异常));
HP:0000205,(Abnormality of head and neck(头部和颈部的异常));
HP:0000206,(Abnormality of head and neck(头部和颈部的异常));
HP:0000207,(Abnormality of head and neck(头部和颈部的异常));
HP:0000211,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000212,(Abnormality of head and neck(头部和颈部的异常));
HP:0000214,(Abnormality of the cardiovascular system(心血管系统异常));(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the integument(体壁的异常));
HP:0000215,(Abnormality of head and neck(头部和颈部的异常));
HP:0000216,(Abnormality of head and neck(头部和颈部的异常));
HP:0000217,(Abnormality of head and neck(头部和颈部的异常));
HP:0000218,(Abnormality of head and neck(头部和颈部的异常));
HP:0000219,(Abnormality of head and neck(头部和颈部的异常));
HP:0000220,(Abnormality of head and neck(头部和颈部的异常));
HP:0000221,(Abnormality of head and neck(头部和颈部的异常));
HP:0000222,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the integument(体壁的异常));
HP:0000224,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the nervous system(神经系统异常));
HP:0000225,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0000230,(Abnormality of head and neck(头部和颈部的异常));
HP:0000232,(Abnormality of head and neck(头部和颈部的异常));
HP:0000233,(Abnormality of head and neck(头部和颈部的异常));
HP:0000234,(Abnormality of head and neck(头部和颈部的异常));
HP:0000235,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000237,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000238,(Abnormality of the nervous system(神经系统异常));
HP:0000239,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000242,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000243,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000244,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000245,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000246,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the immune system(免疫系统异常));
HP:0000248,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000250,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000252,(Abnormality of the nervous system(神经系统异常));(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of head and neck(头部和颈部的异常));
HP:0000253,(Abnormality of the nervous system(神经系统异常));(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of head and neck(头部和颈部的异常));
HP:0000256,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000260,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000262,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000263,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000267,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000268,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000269,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000270,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000271,(Abnormality of head and neck(头部和颈部的异常));
HP:0000272,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000273,(Abnormality of head and neck(头部和颈部的异常));
HP:0000274,(Abnormality of head and neck(头部和颈部的异常));
HP:0000275,(Abnormality of head and neck(头部和颈部的异常));
HP:0000276,(Abnormality of head and neck(头部和颈部的异常));
HP:0000277,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000278,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000280,(Abnormality of head and neck(头部和颈部的异常));
HP:0000282,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0000286,(Abnormality of head and neck(头部和颈部的异常));
HP:0000287,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of connective tissue(结缔组织异常));
HP:0000288,(Abnormality of head and neck(头部和颈部的异常));
HP:0000289,(Abnormality of head and neck(头部和颈部的异常));
HP:0000290,(Abnormality of head and neck(头部和颈部的异常));
HP:0000292,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of connective tissue(结缔组织异常));
HP:0000293,(Abnormality of head and neck(头部和颈部的异常));
HP:0000294,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the integument(体壁的异常));
HP:0000297,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the musculature(肌肉组织异常));
HP:0000298,(Abnormality of head and neck(头部和颈部的异常));
HP:0000300,(Abnormality of head and neck(头部和颈部的异常));
HP:0000301,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the musculature(肌肉组织异常));
HP:0000303,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000306,(Abnormality of head and neck(头部和颈部的异常));
HP:0000307,(Abnormality of head and neck(头部和颈部的异常));
HP:0000308,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000309,(Abnormality of head and neck(头部和颈部的异常));
HP:0000311,(Abnormality of head and neck(头部和颈部的异常));
HP:0000315,(Abnormality of head and neck(头部和颈部的异常));
HP:0000316,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the eye(眼部异常));
HP:0000317,(Abnormality of the musculature(肌肉组织异常));(Abnormality of the nervous system(神经系统异常));(Abnormality of head and neck(头部和颈部的异常));
HP:0000319,(Abnormality of head and neck(头部和颈部的异常));
HP:0000320,(Abnormality of head and neck(头部和颈部的异常));
HP:0000322,(Abnormality of head and neck(头部和颈部的异常));
HP:0000324,(Abnormality of head and neck(头部和颈部的异常));
HP:0000325,(Abnormality of head and neck(头部和颈部的异常));
HP:0000326,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000327,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000329,(Neoplasm(肿瘤));(Abnormality of the cardiovascular system(心血管系统异常));(Abnormality of head and neck(头部和颈部的异常));
HP:0000331,(Abnormality of head and neck(头部和颈部的异常));
HP:0000336,(Abnormality of head and neck(头部和颈部的异常));
HP:0000337,(Abnormality of head and neck(头部和颈部的异常));
HP:0000338,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the musculature(肌肉组织异常));
HP:0000340,(Abnormality of head and neck(头部和颈部的异常));
HP:0000341,(Abnormality of head and neck(头部和颈部的异常));
HP:0000343,(Abnormality of head and neck(头部和颈部的异常));
HP:0000346,(Abnormality of head and neck(头部和颈部的异常));
HP:0000347,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000348,(Abnormality of head and neck(头部和颈部的异常));
HP:0000349,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the integument(体壁的异常));
HP:0000356,(Abnormality of the ear(耳部异常));
HP:0000358,(Abnormality of the ear(耳部异常));
HP:0000359,(Abnormality of the ear(耳部异常));
HP:0000360,(Abnormality of the ear(耳部异常));
HP:0000362,(Abnormality of the ear(耳部异常));
HP:0000363,(Abnormality of the ear(耳部异常));
HP:0000364,(Abnormality of the ear(耳部异常));
HP:0000365,(Abnormality of the ear(耳部异常));
HP:0000366,(Abnormality of head and neck(头部和颈部的异常));
HP:0000368,(Abnormality of the ear(耳部异常));
HP:0000369,(Abnormality of the ear(耳部异常));
HP:0000370,(Abnormality of the ear(耳部异常));
HP:0000372,(Abnormality of the ear(耳部异常));
HP:0000375,(Abnormality of the ear(耳部异常));
HP:0000377,(Abnormality of the ear(耳部异常));
HP:0000378,(Abnormality of the ear(耳部异常));
HP:0000381,(Abnormality of the ear(耳部异常));
HP:0000383,(Abnormality of head and neck(头部和颈部的异常));
HP:0000384,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the integument(体壁的异常));
HP:0000385,(Abnormality of the ear(耳部异常));
HP:0000387,(Abnormality of the ear(耳部异常));
HP:0000388,(Abnormality of the ear(耳部异常));(Abnormality of the immune system(免疫系统异常));
HP:0000389,(Abnormality of the ear(耳部异常));(Abnormality of the immune system(免疫系统异常));
HP:0000391,(Abnormality of the ear(耳部异常));
HP:0000394,(Abnormality of the ear(耳部异常));
HP:0000396,(Abnormality of the ear(耳部异常));
HP:0000399,(Abnormality of the ear(耳部异常));
HP:0000400,(Abnormality of the ear(耳部异常));
HP:0000402,(Abnormality of the ear(耳部异常));
HP:0000403,(Abnormality of the ear(耳部异常));(Abnormality of the immune system(免疫系统异常));
HP:0000405,(Abnormality of the ear(耳部异常));
HP:0000407,(Abnormality of the ear(耳部异常));
HP:0000408,(Abnormality of the ear(耳部异常));
HP:0000410,(Abnormality of the ear(耳部异常));
HP:0000411,(Abnormality of the ear(耳部异常));
HP:0000413,(Abnormality of the ear(耳部异常));
HP:0000414,(Abnormality of head and neck(头部和颈部的异常));
HP:0000418,(Abnormality of head and neck(头部和颈部的异常));
HP:0000421,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0000426,(Abnormality of head and neck(头部和颈部的异常));
HP:0000430,(Abnormality of head and neck(头部和颈部的异常));
HP:0000431,(Abnormality of head and neck(头部和颈部的异常));
HP:0000433,(Abnormality of head and neck(头部和颈部的异常));
HP:0000437,(Abnormality of head and neck(头部和颈部的异常));
HP:0000444,(Abnormality of head and neck(头部和颈部的异常));
HP:0000445,(Abnormality of head and neck(头部和颈部的异常));
HP:0000446,(Abnormality of head and neck(头部和颈部的异常));
HP:0000447,(Abnormality of head and neck(头部和颈部的异常));
HP:0000448,(Abnormality of head and neck(头部和颈部的异常));
HP:0000451,(Abnormality of head and neck(头部和颈部的异常));
HP:0000452,(Abnormality of head and neck(头部和颈部的异常));
HP:0000453,(Abnormality of head and neck(头部和颈部的异常));
HP:0000454,(Abnormality of head and neck(头部和颈部的异常));
HP:0000455,(Abnormality of head and neck(头部和颈部的异常));
HP:0000456,(Abnormality of head and neck(头部和颈部的异常));
HP:0000457,(Abnormality of head and neck(头部和颈部的异常));
HP:0000458,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the nervous system(神经系统异常));
HP:0000460,(Abnormality of head and neck(头部和颈部的异常));
HP:0000463,(Abnormality of head and neck(头部和颈部的异常));
HP:0000464,(Abnormality of head and neck(头部和颈部的异常));
HP:0000465,(Abnormality of head and neck(头部和颈部的异常));
HP:0000467,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the musculature(肌肉组织异常));
HP:0000468,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of connective tissue(结缔组织异常));
HP:0000470,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0000471,(Abnormality of the cardiovascular system(心血管系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0000472,(Abnormality of head and neck(头部和颈部的异常));
HP:0000473,(Abnormality of the musculature(肌肉组织异常));(Abnormality of the nervous system(神经系统异常));(Abnormality of head and neck(头部和颈部的异常));
HP:0000474,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));
HP:0000475,(Abnormality of head and neck(头部和颈部的异常));
HP:0000476,(Abnormality of head and neck(头部和颈部的异常));
HP:0000478,(Abnormality of the eye(眼部异常));
HP:0000479,(Abnormality of the eye(眼部异常));
HP:0000480,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the eye(眼部异常));
HP:0000481,(Abnormality of the eye(眼部异常));
HP:0000482,(Abnormality of the eye(眼部异常));
HP:0000483,(Abnormality of the eye(眼部异常));
HP:0000485,(Abnormality of the eye(眼部异常));
HP:0000486,(Abnormality of the eye(眼部异常));
HP:0000488,(Abnormality of the eye(眼部异常));
HP:0000490,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the eye(眼部异常));
HP:0000491,(Abnormality of the eye(眼部异常));(Abnormality of the immune system(免疫系统异常));
HP:0000492,(Abnormality of head and neck(头部和颈部的异常));
HP:0000493,(Abnormality of the eye(眼部异常));
HP:0000494,(Abnormality of head and neck(头部和颈部的异常));
HP:0000495,(Abnormality of the eye(眼部异常));
HP:0000496,(Abnormality of the eye(眼部异常));
HP:0000498,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the immune system(免疫系统异常));(Abnormality of the eye(眼部异常));
HP:0000499,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the integument(体壁的异常));
HP:0000501,(Abnormality of the eye(眼部异常));
HP:0000502,(Abnormality of head and neck(头部和颈部的异常));
HP:0000503,(Abnormality of the cardiovascular system(心血管系统异常));(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the eye(眼部异常));
HP:0000504,(Abnormality of the eye(眼部异常));
HP:0000505,(Abnormality of the eye(眼部异常));
HP:0000506,(Abnormality of head and neck(头部和颈部的异常));
HP:0000508,(Abnormality of the eye(眼部异常));
HP:0000509,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the immune system(免疫系统异常));(Abnormality of the eye(眼部异常));
HP:0000510,(Abnormality of the eye(眼部异常));
HP:0000511,(Abnormality of the eye(眼部异常));
HP:0000512,(Abnormality of the eye(眼部异常));
HP:0000514,(Abnormality of the eye(眼部异常));
HP:0000518,(Abnormality of the eye(眼部异常));
HP:0000519,(Abnormality of the eye(眼部异常));
HP:0000520,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the eye(眼部异常));
HP:0000522,(Abnormality of the eye(眼部异常));
HP:0000523,(Abnormality of the eye(眼部异常));
HP:0000524,(Abnormality of the cardiovascular system(心血管系统异常));(Abnormality of the integument(体壁的异常));(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the eye(眼部异常));
HP:0000525,(Abnormality of the eye(眼部异常));
HP:0000526,(Abnormality of the eye(眼部异常));
HP:0000527,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the integument(体壁的异常));
HP:0000528,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the eye(眼部异常));
HP:0000529,(Abnormality of the eye(眼部异常));
HP:0000531,(Abnormality of the eye(眼部异常));
HP:0000532,(Abnormality of the eye(眼部异常));
HP:0000533,(Abnormality of the eye(眼部异常));
HP:0000534,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the integument(体壁的异常));
HP:0000535,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the integument(体壁的异常));
HP:0000537,(Abnormality of head and neck(头部和颈部的异常));
HP:0000538,(Abnormality of the eye(眼部异常));
HP:0000539,(Abnormality of the eye(眼部异常));
HP:0000540,(Abnormality of the eye(眼部异常));
HP:0000541,(Abnormality of the eye(眼部异常));
HP:0000543,(Abnormality of the eye(眼部异常));
HP:0000544,(Abnormality of the eye(眼部异常));
HP:0000545,(Abnormality of the eye(眼部异常));
HP:0000546,(Abnormality of the eye(眼部异常));
HP:0000548,(Abnormality of the eye(眼部异常));
HP:0000549,(Abnormality of the eye(眼部异常));
HP:0000551,(Abnormality of the eye(眼部异常));
HP:0000552,(Abnormality of the eye(眼部异常));
HP:0000553,(Abnormality of the eye(眼部异常));
HP:0000554,(Abnormality of the eye(眼部异常));(Abnormality of the immune system(免疫系统异常));
HP:0000555,(Abnormality of the eye(眼部异常));
HP:0000556,(Abnormality of the eye(眼部异常));
HP:0000557,(Abnormality of the eye(眼部异常));
HP:0000558,(Abnormality of the eye(眼部异常));
